name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
James_Milner_254,83,0,0,2,72,0,0,255,2,2,90,0,1,2,0,0,0,8,0,26,0,0,0,1,3,1,0
James_Tarkowski_72,35,0,0,16,21,0,0,251,3,1,90,0,0,3,0,0,0,4,0,26,0,0,0,0,3,0,0
James_Tomkins_138,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
James_Ward-Prowse_338,53,0,0,3,46,0,0,257,4,3,90,0,1,5,0,0,0,5,0,26,0,0,0,0,1,1,1
Jamie_Sterry_530,0,0,0,0,0,0,0,260,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,1,0,0
Jamie_Vardy_234,2,1,1,0,2,0,0,258,0,1,31,1,0,17,0,1,0,1,0,26,0,0,0,1,1,0,0
Jannik_Vestergaard_463,55,0,0,5,45,1,0,257,1,1,71,0,0,5,0,0,0,4,0,26,0,1,2,0,1,1,0
Jan_Bednarek_335,52,0,0,9,42,0,0,257,0,1,90,0,0,5,0,0,0,5,0,26,0,0,0,0,1,1,0
Jan_Vertonghen_355,57,0,0,5,50,0,0,258,2,0,90,0,0,11,1,0,0,3,0,26,0,0,0,0,3,1,1
Jaroslaw_Jach_442,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
Jason_Puncheon_146,30,1,0,0,23,0,0,254,3,1,65,0,0,1,0,0,0,2,0,26,0,2,0,1,1,1,0
Jason_Steele_439,0,0,0,0,0,0,0,251,0,0,0,0,0,4,0,0,0,0,0,26,0,0,0,0,1,1,0
Javier_Hernández Balcázar_419,13,0,0,0,11,0,0,252,0,0,67,0,0,7,0,0,0,1,0,26,0,4,0,0,1,0,0
Javier_Manquillo_315,1,0,0,0,0,0,0,260,0,0,1,0,0,20,0,0,0,1,0,26,0,1,0,0,1,0,0
Jean Michael_Seri_456,84,0,0,7,72,0,0,253,1,1,90,0,0,14,0,0,0,10,0,26,0,0,0,0,0,1,0
Jefferson_Lerma_494,33,0,0,5,30,0,0,255,0,0,72,0,0,12,0,0,0,4,0,26,0,1,0,1,0,0,0
Jeffrey_Schlupp_141,49,0,0,5,46,0,0,252,2,1,90,0,0,19,0,0,0,9,0,26,0,1,0,0,1,1,0
Jeff_Hendrick_78,25,0,0,2,15,1,0,251,0,1,90,0,0,3,0,0,0,8,0,26,0,0,0,0,3,0,0
Jermain_Defoe_46,0,0,0,0,0,0,0,255,0,0,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0
Jerome_Sinclair_398,0,0,0,0,0,0,0,259,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,1,1,0
Jesse_Lingard_300,0,0,0,0,0,0,0,253,0,0,0,0,0,9,0,0,0,0,0,26,0,0,0,0,3,0,0
Joel_Coleman_598,0,0,0,0,0,0,0,254,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,1,0
Joel_Matip_243,86,1,0,13,77,0,0,255,2,1,90,0,0,2,0,0,0,5,0,26,0,0,3,0,3,1,1
Joel_Ward_441,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
Joe_Bennett_94,25,0,0,6,14,0,0,257,0,0,90,0,0,16,0,0,0,5,0,26,0,3,0,0,2,0,0
Joe_Bryan_510,35,1,0,5,23,1,0,253,2,1,80,0,1,14,0,0,0,5,0,26,0,0,0,0,0,1,1
Joe_Hart_490,0,0,0,0,0,0,0,251,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,3,0,0
Joe_Powell_547,0,0,0,0,0,0,0,252,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,1,0,0
Joe_Ralls_98,38,0,0,2,24,0,0,257,2,1,90,0,0,16,0,0,0,3,0,26,0,0,0,0,2,0,0
Joe_Tupper_576,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
Johann Berg_Gudmundsson_76,0,0,0,0,0,0,0,251,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,3,0,0
