name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Francisco_Femenía Far_383,0,0,0,0,0,0,0,200,0,0,0,0,0,15,0,0,0,0,0,20,0,0,0,0,1,1,1,0
Fraser_Forster_329,0,0,0,0,0,0,0,198,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Frederick_Woodman_553,0,0,0,0,0,0,0,200,0,0,0,0,0,18,0,0,0,0,0,20,0,0,0,0,1,1,0,0
Frederico_Rodrigues de Paula Santos_304,0,0,0,0,0,0,0,197,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,1,4,1,0
Gabriel Fernando_de Jesus_281,7,1,0,1,7,0,0,198,1,1,17,0,0,16,0,0,0,1,0,20,0,0,0,0,3,1,0,0
Gary_Cahill_114,0,0,0,0,0,0,0,193,0,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Gary_Madine_109,0,0,0,0,0,0,0,195,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Gaëtan_Bong_51,0,0,0,0,0,0,0,191,0,0,0,0,0,8,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Georges-Kévin_Nkoudou_497,0,0,0,0,0,0,0,199,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Georginio_Wijnaldum_252,39,0,0,0,34,4,0,196,0,1,77,0,0,1,0,0,0,7,0,20,0,2,1,0,1,5,1,0
Gerard_Deulofeu_394,29,1,1,0,23,3,0,200,1,1,90,0,1,15,0,0,0,1,0,20,0,1,0,0,1,1,1,0
Glenn_Murray_62,6,0,0,0,3,0,0,191,0,0,16,0,0,8,0,0,0,3,0,20,0,0,0,0,0,1,1,0
Grady_Diangana_539,20,0,0,0,13,1,0,192,0,1,45,0,0,4,0,0,0,3,0,20,0,3,0,0,0,2,0,0
Granit_Xhaka_17,82,0,0,3,71,0,0,196,1,1,90,0,0,12,0,0,0,10,0,20,0,1,0,0,1,5,0,1
Greg_Cunninghamm_467,21,0,0,4,12,0,0,195,2,0,90,0,1,11,0,0,0,5,0,20,0,1,0,0,1,0,0,0
Greg_Halford_97,0,0,0,0,0,0,0,195,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Guido_Carrillo_350,0,0,0,0,0,0,0,198,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Gylfi_Sigurdsson_172,11,0,0,0,9,0,0,191,0,1,25,0,1,3,0,0,0,0,0,20,0,0,0,1,0,1,0,0
Hamza_Choudhury_230,0,0,0,0,0,0,0,195,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,1,0,1,0
Harry_Arter_33,33,0,0,5,28,0,0,195,1,0,90,0,0,11,0,0,0,6,0,20,0,0,0,0,1,0,0,0
Harry_Kane_372,22,0,0,1,13,1,0,199,2,0,90,0,0,20,0,0,0,3,0,20,0,1,1,0,3,1,1,1
Harry_Maguire_220,48,0,0,9,41,0,1,195,1,1,90,0,0,5,0,0,0,6,0,20,0,0,0,0,1,0,1,0
Harry_Winks_368,92,0,0,3,86,1,0,199,0,1,90,0,0,20,0,0,0,8,0,20,0,2,0,1,3,1,1,0
Henrikh_Mkhitaryan_18,0,0,0,0,0,0,0,196,0,0,0,0,0,12,0,0,0,0,0,20,0,0,0,0,1,5,0,0
Heung-Min_Son_367,28,0,0,0,26,0,0,199,1,3,90,0,1,20,0,0,0,2,0,20,0,4,0,2,3,1,1,0
Heurelho_Gomes_373,0,0,0,0,0,0,0,200,0,0,0,0,0,15,0,0,0,0,0,20,0,0,0,0,1,1,1,0
Hugo_Lloris_351,26,0,0,0,19,0,0,199,0,0,90,0,0,20,0,0,0,10,0,20,1,0,0,0,3,1,1,0
Héctor_Bellerín_4,0,0,0,0,0,0,0,196,0,0,0,0,0,12,0,0,0,0,0,20,0,0,0,0,1,5,0,0
Hélder_Costa_435,14,0,0,0,12,0,0,199,1,1,31,0,1,17,0,0,0,0,0,20,0,2,1,0,3,1,0,0
