name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Bastian_Schweinsteiger,0,0,0,0,0,0,0,351,0,21553,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,2,6,0
Benik_Afobe,0,0,0,0,0,0,0,352,0,21339,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,2,2,2194,0
Benjamin_Chilwell,0,0,0,0,0,0,0,356,0,21807,0,0,0,0,18,0,0,0,0,0,36,0,0,0,0,0,3,70,0
Ben_Davies,64,0,0,3,42,1,0,360,1,21694,0,90,0,0,20,0,0,0,6,0,36,0,1,2,0,0,1,30239,0
Ben_Foster,36,0,0,1,15,0,0,353,0,21738,0,90,0,0,3,0,0,0,13,0,36,3,0,0,0,2,2,2019,0
Ben_Gibson,40,0,0,6,35,0,0,354,0,21566,0,90,1,0,4,0,0,0,4,0,36,0,0,0,0,0,3,1338,0
Ben_Hamer,0,0,0,0,0,0,0,356,0,21898,0,0,0,0,18,0,0,0,0,0,36,0,0,0,0,0,3,4,0
Ben_Hinchcliffe,0,0,0,0,0,0,0,355,0,21857,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,2,0,35,0
Ben_Mee,0,0,0,0,0,0,0,353,0,21343,0,0,0,0,19,0,0,0,0,0,36,0,0,0,0,2,2,307,0
Ben_Watson,0,0,0,0,0,0,0,356,0,21726,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,27,0
Ben_Woodburn,0,0,0,0,0,0,0,357,0,21925,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,0,0,16,0
Ben_Wynter,0,0,0,0,0,0,0,358,0,21901,0,0,0,0,10,0,0,0,0,0,36,0,0,0,0,0,5,30,0
Bernardo_Espinosa Z��iga,0,0,0,0,0,0,0,354,0,21568,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,8,0
Bertrand_Traore,0,0,0,0,0,0,0,354,0,21378,0,0,0,0,12,0,0,0,0,0,36,0,0,0,0,0,3,2,0
Billy_Jones,30,1,0,7,20,1,0,355,0,21651,2,90,0,1,7,0,0,0,6,0,36,0,0,0,0,2,0,45,0
Boaz_Myhill,0,0,0,0,0,0,0,353,0,21737,0,0,0,0,3,0,0,0,0,0,36,0,0,0,0,2,2,33,0
Bojan_Krkic,0,0,0,0,0,0,0,352,0,21643,0,0,0,0,2,0,0,0,0,0,36,0,0,0,0,2,2,5,0
Borja_Bast�n,1,0,0,1,1,0,0,359,0,21819,1,4,0,0,6,0,0,0,0,0,36,0,0,0,0,0,1,15,0
Bradley_Guzan,23,0,0,0,12,0,0,354,0,21799,0,90,0,0,4,0,0,0,8,0,36,4,0,0,0,0,3,297,0
Bradley_Smith,0,0,0,0,0,0,0,352,0,21485,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,2,2,672,0
Brandon_Mason,0,0,0,0,0,0,0,356,0,21944,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,511,0
Branislav_Ivanovic,0,0,0,0,0,0,0,354,0,21363,0,0,0,0,12,0,0,0,0,0,36,0,0,0,0,0,3,31,0
Brendan_Galloway,0,0,0,0,0,0,0,359,0,21417,0,0,0,0,16,0,0,0,0,0,36,0,0,0,0,0,1,27,0
Brian_Lenihan,0,0,0,0,0,0,0,355,0,21436,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,2,0,139,0
Brice_Dja Dj�dj�,0,0,0,0,0,0,0,356,0,21789,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,1,0
Bruno_Martins Indi,33,0,0,5,27,0,0,352,2,21877,0,90,0,0,2,0,0,0,5,0,36,0,0,0,0,2,2,1087,0
Bryan_Oviedo,0,0,0,0,0,0,0,355,0,21428,0,0,0,0,7,0,0,0,0,0,36,0,0,0,0,2,0,10,0
Callum_McManaman,0,0,0,0,0,0,0,353,0,21751,0,0,0,0,3,0,0,0,0,0,36,0,0,0,0,2,2,3,0
Callum_Wilson,0,0,0,0,0,0,0,352,0,21336,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,2,2,52,0
Calum_Chambers,58,0,0,9,49,0,0,354,3,21282,0,90,0,0,4,0,0,0,2,0,36,0,0,0,0,0,3,5299,0
Cameron_Borthwick-Jackson,0,0,0,0,0,0,0,351,0,21540,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,2,3,0
